h_team,a_team,time,h_score,a_score,cancelled,h_shots,h_shots_on_target,h_possession,h_tackles,h_fouls,h_corners,h_shot_acc,h_pass_acc,a_shots,a_shots_on_target,a_possession,a_tackles,a_fouls,a_corners,a_shot_acc,a_pass_acc,filename,h_penalty_score,a_penalty_score
Hamburg SC,FCT x BVB,45.00,-1,-1,True,1,0,39,4,0,0,0,80,12,9,61,15,0,2,75,88,29-10-2020_15-27-34-ujcm5gsu.png,,
Kris FC,Tjappies FC,40.49,-1,-1,True,0,0,44,4,0,0,0,88,4,4,56,7,0,0,100,88,WL237.jpg,,
BianchiBoi,FCT x BVB,39:19,-1,-1,True,1,0,53,7,0,1,0,81,5,5,47,5,0,1,100,92,22-10-2020_13-54-54-uaktmtp1.png,,
EldreGoomba,Tjappies FC,11.48,-1,-1,True,1,1,44,1,0,1,100,64,1,1,56,3,0,0,100,73,WL223.jpg,,
Tjappies FC,TuS Dresden e V,90:00,2,0,False,7,6,54,13,0,4,85,84,3,0,46,12,3,2,0,83,WL330(1).jpg,,
Tjappies FC,FCARSENAL,90:00,6,1,False,10,6,53,8,1,1,60,86,6,5,47,6,0,3,83,87,WL287.jpg,,
Tjappies FC,SOLDI GVNG,90:00,2,1,False,3,3,51,5,1,1,100,90,5,4,49,11,0,2,80,89,WL293.jpg,,
FCT x BVB,Team 7,90:00,2,1,False,5,4,37,6,1,3,80,85,4,2,63,7,1,1,50,87,10-11-2020_16-35-39-k01kqgwf.png,,
ksv hoeselt,Tjappies FC,54.21,-1,-1,True,2,0,40,6,0,0,0,94,6,4,60,7,0,1,66,89,WL244.jpg,,
lesKIRA,Tjappies FC,2.48,-1,-1,True,0,0,47,0,0,0,0,85,1,1,53,0,0,0,100,100,WL250.jpg,,
JSN FC,Tjappies FC,74.48,-1,87,False,2,2,40,8,1,1,100,84,8,6,60,6,1,3,75,90,WL278.jpg,,
vv buinen,Tjappies FC,11.41,531,-1,False,0,0,37,2,0,0,0,76,3,3,63,0,0,1,100,100,WL132.jpg,,
FreeAnuelAA,Tjappies FC,66.06,-1,-1,True,0,0,46,6,1,0,0,86,5,4,54,6,0,1,80,90,WL126.jpg,,
Jayyusiii ,Tjappies FC,57.48,-1,-1,True,5,5,48,8,1,1,100,85,8,5,52,5,0,1,62,92,WL33.jpg,,
[,FCT x BVB,58.03,-1,-1,True,3,3,61,3,1,0,100,91,11,7,39,6,1,0,63,87,29-10-2020_15-27-23-uula4qp5.png,,
XMG Effect,Tjappies FC,90:00,4,5,False,6,4,51,1,0,1,66,91,8,8,49,8,0,1,100,90,WL27.jpg,,
Hombres De Paco,Tjappies FC,2:19,-1,-1,True,0,0,47,0,0,0,0,100,1,1,53,1,0,0,100,100,WL-40.jpg,,
KNOW OZIL,FCT x BVB,68.54,-1,-1,True,3,3,37,15,2,1,100,89,7,5,63,10,1,0,71,86,29-10-2020_15-27-26-l1p2hymg.png,,
UC Diamoli,Tjappies FC,90:00,1,7,False,3,2,48,14,0,1,66,86,11,9,52,13,0,2,81,88,WL-54.jpg,,
Tjappies FC,TuS Dresden e V,90:00,2,0,False,7,6,54,13,0,4,85,84,3,0,46,12,3,2,0,83,WL330.jpg,,
Litos222,Tjappies FC,22.49,-1,-1,True,0,0,55,1,0,0,0,94,4,3,45,2,0,1,75,92,WL324.jpg,,
Dream team,Tjappies FC,90:00,2,6,False,9,7,41,14,1,1,77,83,12,10,59,10,0,2,83,93,FIFA 21 FUT Champions (In Menus)_13.jpg,,
